Release;File;Size;LocTouched;LocAdded;MaxLocAdded;AvgLocAdded;Nauth;Nfix;Nr;ChgSetSize;Buggy
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;102;347;242;137;60.50;2;0;4;471;No
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;211;436;340;252;68.00;2;2;5;471;Yes
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;487;545;545;545;545.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;61;81;81;81;81.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;124;168;168;168;168.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;371;487;487;487;487.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;93;124;124;124;124.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;465;536;536;536;536.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;98;133;133;133;133.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;127;151;151;151;151.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;106;147;147;147;147.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;40;126;126;126;126.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/BKException.java;216;249;249;249;249.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;187;410;410;410;410.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;153;204;204;204;204.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;33;50;50;50;50.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/DigestManager.java;144;184;184;184;184.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;12;61;61;61;61.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;98;167;167;167;167.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;33;80;80;80;80.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java;52;83;83;83;83.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;373;547;547;547;547.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;138;198;198;198;198.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java;95;140;140;140;140.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java;129;178;178;178;178.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java;50;67;67;67;67.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java;103;138;138;138;138.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java;137;170;170;170;170.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java;59;87;87;87;87.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/client/SyncCounter.java;61;85;85;85;85.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieClient.java;147;178;178;178;178.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java;16;75;75;75;75.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;177;209;209;209;209.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;22;57;57;57;57.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;366;521;521;521;521.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;452;573;573;573;573.00;1;0;1;206;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/ServerStats.java;133;148;148;148;148.00;1;0;1;206;No
