Id;Date;Num Commits
BOOKKEEPER-19;5/2011;1
BOOKKEEPER-22;6/2011;1
BOOKKEEPER-5;7/2011;1
BOOKKEEPER-27;7/2011;1
BOOKKEEPER-29;8/2011;2
BOOKKEEPER-43;8/2011;1
BOOKKEEPER-38;8/2011;2
BOOKKEEPER-58;8/2011;1
BOOKKEEPER-18;8/2011;1
BOOKKEEPER-52;8/2011;1
BOOKKEEPER-51;8/2011;1
BOOKKEEPER-28;8/2011;1
BOOKKEEPER-57;8/2011;1
BOOKKEEPER-63;9/2011;1
BOOKKEEPER-59;9/2011;1
BOOKKEEPER-86;10/2011;1
BOOKKEEPER-68;10/2011;1
BOOKKEEPER-61;10/2011;2
BOOKKEEPER-88;10/2011;1
BOOKKEEPER-92;10/2011;1
BOOKKEEPER-94;10/2011;1
BOOKKEEPER-100;10/2011;1
BOOKKEEPER-93;10/2011;1
BOOKKEEPER-71;10/2011;1
BOOKKEEPER-50;11/2011;1
BOOKKEEPER-107;11/2011;1
BOOKKEEPER-80;11/2011;1
BOOKKEEPER-106;11/2011;2
BOOKKEEPER-81;11/2011;1
BOOKKEEPER-115;11/2011;1
BOOKKEEPER-69;11/2011;1
BOOKKEEPER-79;11/2011;1
BOOKKEEPER-119;11/2011;1
BOOKKEEPER-118;11/2011;1
BOOKKEEPER-53;11/2011;1
BOOKKEEPER-39;11/2011;1
BOOKKEEPER-127;11/2011;1
BOOKKEEPER-125;11/2011;1
BOOKKEEPER-124;11/2011;1
BOOKKEEPER-129;11/2011;1
BOOKKEEPER-128;11/2011;1
BOOKKEEPER-66;11/2011;1
BOOKKEEPER-134;12/2011;1
BOOKKEEPER-131;12/2011;1
BOOKKEEPER-139;12/2011;1
BOOKKEEPER-138;12/2011;1
BOOKKEEPER-142;12/2011;1
BOOKKEEPER-140;12/2011;1
BOOKKEEPER-133;12/2011;1
BOOKKEEPER-148;1/2012;1
BOOKKEEPER-40;1/2012;1
BOOKKEEPER-150;1/2012;1
BOOKKEEPER-153;1/2012;1
BOOKKEEPER-161;2/2012;1
BOOKKEEPER-167;2/2012;1
BOOKKEEPER-156;2/2012;1
BOOKKEEPER-137;2/2012;1
BOOKKEEPER-162;2/2012;1
BOOKKEEPER-152;2/2012;1
BOOKKEEPER-171;2/2012;1
BOOKKEEPER-170;2/2012;1
BOOKKEEPER-174;2/2012;1
BOOKKEEPER-169;2/2012;1
BOOKKEEPER-177;2/2012;1
BOOKKEEPER-113;2/2012;1
BOOKKEEPER-176;3/2012;1
BOOKKEEPER-74;3/2012;1
BOOKKEEPER-180;3/2012;1
BOOKKEEPER-163;3/2012;1
BOOKKEEPER-184;3/2012;1
BOOKKEEPER-182;3/2012;1
BOOKKEEPER-186;3/2012;1
BOOKKEEPER-189;3/2012;1
BOOKKEEPER-188;3/2012;1
BOOKKEEPER-195;3/2012;1
BOOKKEEPER-194;3/2012;1
BOOKKEEPER-190;3/2012;1
BOOKKEEPER-166;3/2012;1
BOOKKEEPER-198;3/2012;1
BOOKKEEPER-193;3/2012;1
BOOKKEEPER-112;3/2012;1
BOOKKEEPER-135;4/2012;1
BOOKKEEPER-207;4/2012;1
BOOKKEEPER-212;4/2012;1
BOOKKEEPER-211;4/2012;1
BOOKKEEPER-216;4/2012;1
BOOKKEEPER-197;4/2012;1
BOOKKEEPER-213;4/2012;1
BOOKKEEPER-173;4/2012;1
BOOKKEEPER-217;4/2012;1
BOOKKEEPER-231;4/2012;1
BOOKKEEPER-56;4/2012;2
BOOKKEEPER-232;5/2012;1
BOOKKEEPER-229;5/2012;1
BOOKKEEPER-242;5/2012;1
BOOKKEEPER-235;5/2012;1
BOOKKEEPER-234;5/2012;1
BOOKKEEPER-215;5/2012;1
BOOKKEEPER-245;5/2012;1
BOOKKEEPER-209;5/2012;1
BOOKKEEPER-72;5/2012;1
BOOKKEEPER-263;5/2012;1
BOOKKEEPER-260;5/2012;1
BOOKKEEPER-146;5/2012;1
