Release;File;Size;LocTouched;LocAdded;MaxLocAdded;AvgLocAdded;Nauth;Nfix;Nr;ChgSetSize;Buggy
1;src/jvm/storm/starter/ExclamationTopology.java;67;208;139;69;15.44;2;0;9;98;No
1;src/jvm/storm/starter/PrintSampleStream.java;0;53;45;32;7.5;2;0;6;50;No
1;src/jvm/storm/starter/WordCountTopology.java;87;282;186;84;20.67;2;0;9;98;No
1;src/jvm/storm/starter/spout/RandomSentenceSpout.java;47;145;96;60;24;2;0;4;85;No
1;src/jvm/storm/starter/spout/TwitterSampleSpout.java;0;139;122;99;17.43;2;0;7;54;No
1;src/jvm/backtype/storm/Config.java;378;2406;2019;299;18.19;16;0;111;971;No
1;src/jvm/backtype/storm/Constants.java;18;73;59;6;3.11;6;0;19;675;No
1;src/jvm/backtype/storm/ILocalCluster.java;30;73;64;16;5.33;6;0;12;349;No
1;src/jvm/backtype/storm/StormSubmitter.java;123;372;329;96;11.34;5;0;29;608;No
1;src/jvm/backtype/storm/clojure/ClojureBolt.java;101;302;222;94;15.86;4;0;14;544;No
1;src/jvm/backtype/storm/daemon/Shutdownable.java;5;5;5;5;5;1;0;1;107;No
1;src/jvm/backtype/storm/drpc/DRPCScheme.java;25;79;27;25;6.75;2;0;4;288;No
1;src/jvm/backtype/storm/drpc/ReturnResults.java;78;259;185;48;8.81;4;0;21;568;No
1;src/jvm/backtype/storm/drpc/SpoutAdder.java;6;18;6;6;2;2;0;3;285;No
1;src/jvm/backtype/storm/generated/AlreadyAliveException.java;258;558;447;320;111.75;2;0;4;331;No
1;src/jvm/backtype/storm/generated/Bolt.java;159;1405;778;559;111.14;3;0;7;450;No
1;src/jvm/backtype/storm/generated/BoltStats.java;891;2555;2015;747;223.89;2;0;9;398;No
1;src/jvm/backtype/storm/generated/ClusterSummary.java;470;1119;866;583;123.71;2;0;7;378;No
1;src/jvm/backtype/storm/generated/ComponentCommon.java;262;1716;1457;455;145.7;3;0;10;529;No
1;src/jvm/backtype/storm/generated/ComponentObject.java;353;731;600;301;120;2;0;5;332;No
1;src/jvm/backtype/storm/generated/DistributedRPC.java;458;8791;3614;1566;516.29;2;0;7;356;No
1;src/jvm/backtype/storm/generated/ErrorInfo.java;161;714;576;412;144;2;0;4;331;No
1;src/jvm/backtype/storm/generated/GlobalStreamId.java;159;1063;756;406;126;2;0;6;378;No
1;src/jvm/backtype/storm/generated/Grouping.java;619;1224;1044;460;174;2;0;6;350;No
1;src/jvm/backtype/storm/generated/InvalidTopologyException.java;258;558;447;320;111.75;2;0;4;331;No
1;src/jvm/backtype/storm/generated/Nimbus.java;8600;35311;28903;7967;1521.21;6;0;19;473;No
1;src/jvm/backtype/storm/generated/NotAliveException.java;258;558;447;320;111.75;2;0;4;331;No
1;src/jvm/backtype/storm/generated/NullStruct.java;88;403;317;219;79.25;2;0;4;331;No
1;src/jvm/backtype/storm/generated/ShellComponent.java;159;687;557;407;139.25;2;0;4;331;No
1;src/jvm/backtype/storm/generated/SpoutSpec.java;159;1134;691;509;115.17;3;0;6;447;No
1;src/jvm/backtype/storm/generated/SpoutStats.java;609;2362;1565;744;142.27;2;0;11;445;No
1;src/jvm/backtype/storm/generated/StateSpoutSpec.java;159;709;573;417;143.25;2;0;4;331;No
1;src/jvm/backtype/storm/generated/StormTopology.java;519;1930;1295;648;143.89;2;0;9;425;No
1;src/jvm/backtype/storm/generated/StreamInfo.java;181;801;638;449;127.6;2;0;5;345;No
1;src/jvm/backtype/storm/generated/SupervisorSummary.java;527;1214;1018;590;169.67;2;0;6;344;No
1;src/jvm/backtype/storm/generated/TaskSpecificStats.java;288;566;450;302;112.5;2;0;4;331;No
1;src/jvm/backtype/storm/generated/TaskStats.java;536;1693;1192;667;132.44;2;0;9;425;No
1;src/jvm/backtype/storm/generated/TaskSummary.java;291;2049;1376;906;125.09;2;0;11;429;No
1;src/jvm/backtype/storm/generated/TopologyInfo.java;315;2254;1725;640;107.81;3;0;16;508;No
1;src/jvm/backtype/storm/generated/TopologySummary.java;664;1044;778;203;97.25;3;0;8;433;No
1;src/jvm/backtype/storm/planner/CompoundSpout.java;7;8;8;8;8;1;0;1;107;No
1;src/jvm/backtype/storm/planner/CompoundTask.java;7;8;8;8;8;1;0;1;107;No
1;src/jvm/backtype/storm/planner/TaskBundle.java;16;16;16;16;16;1;0;1;107;No
1;src/jvm/backtype/storm/serialization/FieldSerialization.java;29;95;33;29;8.25;2;0;4;294;No
1;src/jvm/backtype/storm/serialization/ISerialization.java;13;95;32;31;8;2;0;4;289;No
1;src/jvm/backtype/storm/serialization/SerializationFactory.java;36;1649;909;207;16.83;8;0;54;832;No
1;src/jvm/backtype/storm/serialization/TupleDeserializer.java;49;147;49;49;16.33;2;0;3;289;No
1;src/jvm/backtype/storm/serialization/TupleSerializer.java;58;174;58;58;19.33;2;0;3;289;No
1;src/jvm/backtype/storm/serialization/ValuesDeserializer.java;49;147;49;49;16.33;2;0;3;289;No
1;src/jvm/backtype/storm/serialization/ValuesSerializer.java;51;162;54;54;18;2;0;3;289;No
1;src/jvm/backtype/storm/spout/ISpout.java;21;114;108;71;27;2;0;4;281;No
1;src/jvm/backtype/storm/spout/ISpoutOutputCollector.java;9;30;21;13;3;4;0;7;439;No
1;src/jvm/backtype/storm/spout/RawScheme.java;15;15;15;15;15;1;0;1;107;No
1;src/jvm/backtype/storm/spout/Scheme.java;11;11;11;11;11;1;0;1;107;No
1;src/jvm/backtype/storm/spout/ShellSpout.java;120;369;321;87;21.4;5;0;15;401;No
1;src/jvm/backtype/storm/spout/SpoutOutputCollector.java;50;186;158;104;22.57;3;0;7;352;No
1;src/jvm/backtype/storm/state/IStateSpout.java;12;12;12;12;12;1;0;1;107;No
1;src/jvm/backtype/storm/state/IStateSpoutOutputCollector.java;5;5;5;5;5;1;0;1;107;No
1;src/jvm/backtype/storm/state/ISubscribedState.java;8;8;8;8;8;1;0;1;107;No
1;src/jvm/backtype/storm/state/ISynchronizeOutputCollector.java;7;7;7;7;7;1;0;1;107;No
1;src/jvm/backtype/storm/state/StateSpoutOutputCollector.java;11;11;11;11;11;1;0;1;107;No
1;src/jvm/backtype/storm/state/SynchronizeOutputCollector.java;13;13;13;13;13;1;0;1;107;No
1;src/jvm/backtype/storm/task/CoordinatedBolt.java;215;442;221;219;55.25;2;0;4;282;No
1;src/jvm/backtype/storm/task/IBolt.java;13;71;69;67;23;1;0;3;108;No
1;src/jvm/backtype/storm/task/IInternalOutputCollector.java;12;48;12;12;3;3;0;4;310;No
1;src/jvm/backtype/storm/task/IOutputCollector.java;12;104;59;15;3.28;4;0;18;581;No
1;src/jvm/backtype/storm/task/KeyedFairBolt.java;63;65;63;61;21;1;0;3;115;No
1;src/jvm/backtype/storm/task/OutputCollector.java;83;723;502;166;33.47;4;0;15;544;No
1;src/jvm/backtype/storm/task/OutputCollectorImpl.java;71;419;126;82;7;4;0;18;471;No
1;src/jvm/backtype/storm/task/ShellBolt.java;191;1092;684;194;16.68;12;0;41;747;No
1;src/jvm/backtype/storm/task/TopologyContext.java;154;1669;958;313;17.42;8;0;55;837;No
1;src/jvm/backtype/storm/testing/AckFailDelegate.java;8;8;8;8;8;1;0;1;107;No
1;src/jvm/backtype/storm/testing/AckTracker.java;35;35;35;35;35;1;0;1;107;No
1;src/jvm/backtype/storm/testing/BoltTracker.java;25;430;155;97;17.22;3;0;9;493;No
1;src/jvm/backtype/storm/testing/FeederSpout.java;83;234;169;75;16.9;4;0;10;492;No
1;src/jvm/backtype/storm/testing/FixedTuple.java;25;45;39;21;6.5;3;0;6;436;No
1;src/jvm/backtype/storm/testing/FixedTupleSpout.java;142;236;224;103;44.8;3;0;5;365;No
1;src/jvm/backtype/storm/testing/SpoutTracker.java;88;267;169;94;21.13;4;0;8;470;No
1;src/jvm/backtype/storm/testing/TestAggregatesCounter.java;46;77;63;45;7.88;4;0;8;495;No
1;src/jvm/backtype/storm/testing/TestGlobalCount.java;43;86;66;42;6;5;0;11;584;No
1;src/jvm/backtype/storm/testing/TestPlannerBolt.java;28;56;38;32;9.5;3;0;4;390;No
1;src/jvm/backtype/storm/testing/TestPlannerSpout.java;68;152;126;52;21;3;0;6;395;No
1;src/jvm/backtype/storm/testing/TestWordCounter.java;44;75;61;43;7.63;4;0;8;495;No
1;src/jvm/backtype/storm/testing/TestWordSpout.java;69;150;119;59;11.9;4;0;10;502;No
1;src/jvm/backtype/storm/testing/TrackerAggregator.java;72;290;73;72;14.6;2;0;5;352;No
1;src/jvm/backtype/storm/testing/TupleCaptureBolt.java;66;194;147;49;18.38;3;0;8;435;No
1;src/jvm/backtype/storm/topology/BasicBoltExecutor.java;50;139;111;36;7.4;5;0;15;542;No
1;src/jvm/backtype/storm/topology/BasicOutputCollector.java;45;76;62;42;8.86;2;0;7;359;No
1;src/jvm/backtype/storm/topology/IBasicBolt.java;11;21;21;11;7;1;0;3;117;No
1;src/jvm/backtype/storm/topology/IBasicOutputCollector.java;9;22;16;8;2.67;2;0;6;359;No
1;src/jvm/backtype/storm/topology/IComponent.java;12;53;50;17;12.5;3;0;4;390;No
1;src/jvm/backtype/storm/topology/IRichBolt.java;7;12;12;12;12;1;0;1;107;No
1;src/jvm/backtype/storm/topology/IRichSpout.java;7;46;22;19;5.5;3;0;4;390;No
1;src/jvm/backtype/storm/topology/IRichStateSpout.java;8;8;8;8;8;1;0;1;107;No
